,,,Archer,Archer,Intel,Intel,ROMP,ROMP,Tsan,Tsan
ID,Name,R,Race,Type,Race,Type,Race,Type,Race,Type
1,DRB001-antidep1-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
2,DRB002-antidep1-var-yes.c,Y,1,TP,1,TP,1,TP,1,TP
3,DRB003-antidep2-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
4,DRB004-antidep2-var-yes.c,Y,1,TP,1,TP,1,TP,1,TP
5,DRB005-indirectaccess1-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
6,DRB006-indirectaccess2-orig-yes.c,Y,0,FN,1,TP,0,FN,1,TP
7,DRB007-indirectaccess3-orig-yes.c,Y,0,FN,1,TP,0,FN,1,TP
8,DRB008-indirectaccess4-orig-yes.c,Y,0,FN,1,TP,0,FN,1,TP
9,DRB009-lastprivatemissing-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
10,DRB010-lastprivatemissing-var-yes.c,Y,1,TP,1,TP,1,TP,1,TP
11,DRB011-minusminus-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
12,DRB012-minusminus-var-yes.c,Y,1,TP,1,TP,1,TP,1,TP
13,DRB013-nowait-orig-yes.c,Y,0,FN,1,TP,1,TP,0,FN
14,DRB014-outofbounds-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
15,DRB015-outofbounds-var-yes.c,Y,1,TP,1,TP,1,TP,1,TP
16,DRB016-outputdep-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
17,DRB017-outputdep-var-yes.c,Y,1,TP,1,TP,1,TP,1,TP
18,DRB018-plusplus-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
19,DRB019-plusplus-var-yes.c,Y,1,TP,1,TP,1,TP,1,TP
20,DRB020-privatemissing-var-yes.c,Y,1,TP,1,TP,1,TP,1,TP
21,DRB021-reductionmissing-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
22,DRB022-reductionmissing-var-yes.c,Y,1,TP,1,TP,1,TP,1,TP
23,DRB023-sections1-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
24,DRB024-simdYdep-orig-yes.c,Y,0,FN,0,FN,0,FN,0,FN
25,DRB025-simdYdep-var-yes.c,Y,0,FN,0,FN,0,FN,0,FN
26,DRB026-targetparallelfor-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
27,DRB027-taskdependmissing-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
28,DRB028-privatemissing-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
29,DRB029-Ydep1-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
30,DRB030-Ydep1-var-yes.c,Y,1,TP,1,TP,1,TP,1,TP
31,DRB031-Ydepfirstdimension-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
32,DRB032-Ydepfirstdimension-var-yes.c,Y,1,TP,1,TP,1,TP,1,TP
33,DRB033-Ydeplinear-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
34,DRB034-Ydeplinear-var-yes.c,Y,1,TP,1,TP,1,TP,1,TP
35,DRB035-Ydepscalar-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
36,DRB036-Ydepscalar-var-yes.c,Y,1,TP,1,TP,1,TP,1,TP
37,DRB037-Ydepseconddimension-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
38,DRB038-Ydepseconddimension-var-yes.c,Y,1,TP,1,TP,1,TP,1,TP
39,DRB039-Ydepsingleelement-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
40,DRB040-Ydepsingleelement-var-yes.c,Y,1,TP,1,TP,1,TP,1,TP
41,DRB041-3mm-parallel-no.c,N,0,TN,1,FP,0,TN,1,FP
42,DRB042-3mm-tile-no.c,N,0,TN,1,FP,0,TN,1,FP
43,DRB043-adi-parallel-no.c,N,0,TN,1,FP,0,TN,0,TN
44,DRB044-adi-tile-no.c,N,0,TN,1,FP,0,TN,0,TN
45,DRB045-doall1-orig-no.c,N,0,TN,1,FP,0,TN,0,TN
46,DRB046-doall2-orig-no.c,N,0,TN,1,FP,0,TN,0,TN
47,DRB047-doallchar-orig-no.c,N,0,TN,1,FP,0,TN,0,TN
48,DRB048-firstprivate-orig-no.c,N,0,TN,1,FP,0,TN,0,TN
49,DRB049-fprintf-orig-no.c,N,0,TN,1,FP,0,TN,0,TN
50,DRB050-functionparameter-orig-no.c,N,0,TN,1,FP,0,TN,0,TN
51,DRB051-getthreadnum-orig-no.c,N,0,TN,0,TN,0,TN,0,TN
52,DRB052-indirectaccesssharebase-orig-no.c,N,0,TN,1,FP,0,TN,1,FP
53,DRB053-inneronly1-orig-no.c,N,0,TN,1,FP,0,TN,1,FP
54,DRB054-inneronly2-orig-no.c,N,0,TN,1,FP,0,TN,1,FP
55,DRB055-jacobi2d-parallel-no.c,N,0,TN,1,FP,0,TN,1,FP
56,DRB056-jacobi2d-tile-no.c,N,0,TN,1,FP,0,TN,1,FP
57,DRB057-jacobiinitialize-orig-no.c,N,0,TN,1,FP,0,TN,0,TN
58,DRB058-jacobikernel-orig-no.c,N,0,TN,1,FP,0,TN,1,FP
59,DRB059-lastprivate-orig-no.c,N,0,TN,1,FP,0,TN,1,FP
60,DRB060-matrixmultiply-orig-no.c,N,0,TN,1,FP,0,TN,0,TN
61,DRB061-matrixvector1-orig-no.c,N,0,TN,1,FP,0,TN,0,TN
62,DRB062-matrixvector2-orig-no.c,N,0,TN,0,TN,0,TN,1,FP
63,DRB063-outeronly1-orig-no.c,N,0,TN,1,FP,0,TN,0,TN
64,DRB064-outeronly2-orig-no.c,N,0,TN,1,FP,0,TN,0,TN
65,DRB065-pireduction-orig-no.c,N,0,TN,0,TN,0,TN,1,FP
66,DRB066-pointernoaliasing-orig-no.c,N,0,TN,0,TN,0,TN,0,TN
67,DRB067-restrictpointer1-orig-no.c,N,0,TN,1,FP,0,TN,0,TN
68,DRB068-restrictpointer2-orig-no.c,N,0,TN,1,FP,0,TN,0,TN
69,DRB069-sectionslock1-orig-no.c,N,0,TN,0,TN,1,FP,1,FP
70,DRB070-simd1-orig-no.c,N,0,TN,0,TN,0,TN,0,TN
71,DRB071-targetparallelfor-orig-no.c,N,0,TN,1,FP,0,TN,0,TN
72,DRB072-taskdep1-orig-no.c,N,0,TN,0,TN,1,FP,1,FP
73,DRB073-doall2-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
74,DRB074-flush-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
75,DRB075-getthreadnum-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
76,DRB076-flush-orig-no.c,N,0,TN,0,TN,0,TN,1,FP
77,DRB077-single-orig-no.c,N,0,TN,0,TN,0,TN,1,FP
78,DRB078-taskdep2-orig-no.c,N,0,TN,0,TN,1,FP,1,FP
79,DRB079-taskdep3-orig-no.c,N,0,TN,0,TN,1,FP,1,FP
80,DRB080-func-arg-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
81,DRB081-func-arg-orig-no.c,N,0,TN,0,TN,0,TN,0,TN
82,DRB082-declared-in-func-orig-yes.c,Y,1,TP,1,TP,8,TP,1,TP
83,DRB083-declared-in-func-orig-no.c,N,0,TN,0,TN,0,TN,0,TN
84,DRB084-threadprivatemissing-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
85,DRB085-threadprivate-orig-no.c,N,0,TN,1,FP,0,TN,1,FP
86,DRB086-static-data-member-orig-yes.cpp,Y,1,TP,1,TP,0,FN,1,TP
87,DRB087-static-data-member2-orig-yes.cpp,Y,1,TP,1,TP,0,FN,1,TP
88,DRB088-dynamic-storage-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
89,DRB089-dynamic-storage2-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
90,DRB090-static-local-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
91,DRB091-threadprivate2-orig-no.c,N,0,TN,1,FP,0,TN,1,FP
92,DRB092-threadprivatemissing2-orig-yes.c,Y,1,TP,1,TP,1,TP,1,TP
93,DRB093-doall2-collapse-orig-no.c,N,0,TN,1,FP,0,TN,0,TN
94,DRB094-doall2-ordered-orig-no.c,N,-1,CSG,1,FP,0,TN,0,TN
95,DRB095-doall2-taskloop-orig-yes.c,Y,-1,CSG,1,TP,0,FN,1,TP
